# From Wowhead's Forever world-map data file. category, NPC id, name, x, y (the map tool's pixel canvas), side
class-paladin	246344	Alodan the Hopeful	16142.5	17297.5	2
class-shaman	262558	Palah Thunderhoof	15989.1	17010.1	2
class-druid	262560	Hana Lighthoof	15977.3	16994.4	2
class-warrior	514	Smith Argus	37288.1	23415.7	1
class-mage	1300	Lawrence Schneider	36449.2	22832.7	1
class-mage	2485	Larimaine Purdue	36379.2	22897.2	1
class-mage	2489	Milstaff Stormeye	38255.4	18760	1
class-mage	2492	Lexington Mortaim	37313.2	12631.5	2
class-hunter	2879	Karrina Mekenda	36749.5	22187.7	1
class-hunter	3624	Zudd	37155.3	26234.2	0
class-hunter	10090	Belia Thundergranite	38598.4	19155	1
class-priest	11048	Victor Ward	37184.3	12715.1	2
class-paladin	244808	Aramis Hammerhand	35808.8	12566.5	2
class-paladin	246152	Shari Stilwell	37075.5	12173.2	2
class-paladin	246389	Hilda the Breaker	35418.4	12017	2
class-hunter	248415	Tordrin Sternblade	37608	22864.6	1
class-hunter	251507	Josephine Carson	37274.8	23429	1
class-shaman	257446	Teo Hammerstorm	37007.7	20144.6	1
class-shaman	258098	Eldrun Stormbreaker	38420.8	18791.4	1
class-shaman	258113	Ingrid Dunwald	37887.1	19697	1
class-priest	258785	High Priestess Mims	38249.3	18773.1	1
class-paladin	260093	Garen Largo	36974.3	12625.3	2
class-druid	270459	Alfina Nightgaze	36941.2	13910.3	2
